Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
250270,0.0166701,641.280161828734,0.000,0.217,0.512,0.000
250271,0.0123001,641.292461928912,0.000,0.217,0.512,0.000
250273,0.018582,641.311043928377,0.000,0.217,0.512,0.000
250275,0.013897,641.324940928258,0.000,0.217,0.512,0.000
250276,0.0171716,641.342112529092,0.000,0.217,0.512,0.000
250278,0.0136442,641.35575672891,0.000,0.217,0.512,0.000
250280,0.0203385,641.376095228828,0.000,0.217,0.512,0.000
250282,0.0203527,641.396447929554,0.000,0.217,0.512,0.000
250283,0.0183629,641.414810829796,0.000,0.217,0.512,0.000
250285,0.0158061,641.430616929196,0.000,0.217,0.512,0.000
250287,0.0166802,641.447297128849,0.000,0.217,0.512,0.000
250289,0.0225997,641.469896829687,0.000,0.217,0.512,0.000
250334,0.1100378,641.922080334276,0.000,0.217,0.512,0.000
250337,0.0118166,641.933896934614,0.000,0.217,0.512,0.000
250339,0.0321515,641.966048436239,0.000,0.217,0.512,0.000
250343,0.0272663,641.993314735591,0.000,0.217,0.512,0.000
250346,0.031357,642.024671737105,0.000,0.217,0.512,0.000
250349,0.0326901,642.057361837476,0.000,0.217,0.512,0.000
250353,0.0354587,642.092820536345,0.000,0.217,0.512,0.000
250355,0.0365673,642.129387836903,0.000,0.217,0.512,0.000
250357,0.0201237,642.149511536583,0.000,0.217,0.512,0.000
250359,0.0237254,642.173236936331,0.000,0.217,0.512,0.000
250361,0.0149699,642.188206836581,0.000,0.217,0.512,0.000
250362,0.0196524,642.207859236747,0.000,0.217,0.512,0.000
250364,0.0169741,642.22483333759,0.000,0.217,0.512,0.000
250366,0.0124278,642.237261137925,0.000,0.217,0.512,0.000
250367,0.0154458,642.252706937492,0.000,0.217,0.512,0.000
250369,0.0170188,642.269725738093,0.000,0.217,0.512,0.000
250371,0.01823,642.287955738604,0.000,0.217,0.512,0.000
250372,0.0162627,642.304218439385,0.000,0.217,0.512,0.000
250374,0.0169307,642.321149138734,0.000,0.217,0.512,0.000
250376,0.0191034,642.340252539143,0.000,0.217,0.512,0.000
250377,0.014222,642.354474538937,0.000,0.217,0.512,0.000
250379,0.0177752,642.372249739245,0.000,0.217,0.512,0.000
250381,0.0149775,642.387227239087,0.000,0.217,0.512,0.000
250382,0.0180018,642.40522903949,0.000,0.217,0.512,0.000
250384,0.0170981,642.422327140346,0.000,0.217,0.512,0.000
250386,0.0189001,642.441227240488,0.000,0.217,0.512,0.000
250387,0.0145898,642.455817040056,0.000,0.217,0.512,0.000
250389,0.0174694,642.473286440596,0.000,0.217,0.512,0.000
250391,0.0193911,642.49267754145,0.000,0.217,0.512,0.000
250392,0.014747,642.507424541749,0.000,0.217,0.512,0.000
250394,0.01412,642.521544542164,0.000,0.217,0.512,0.000
250396,0.0179529,642.539497442544,0.000,0.217,0.512,0.000
250397,0.0159495,642.555446943268,0.000,0.217,0.512,0.000
250399,0.0206034,642.576050342992,0.000,0.217,0.512,0.000
250401,0.0130065,642.58905684296,0.000,0.217,0.512,0.000
250402,0.0172586,642.606315442361,0.000,0.217,0.512,0.000
250404,0.0159551,642.622270542197,0.000,0.217,0.512,0.000
250406,0.0164163,642.638686842285,0.000,0.217,0.512,0.000
250409,0.0212781,642.659964942373,0.000,0.217,0.512,0.000
250411,0.0280684,642.688033343293,0.000,0.217,0.512,0.000
250412,0.0169013,642.70493464265,0.000,0.217,0.512,0.000
250414,0.0183446,642.723279242404,0.000,0.217,0.512,0.000
250416,0.015272,642.738551242277,0.000,0.217,0.512,0.000
250419,0.0226839,642.761235142127,0.000,0.217,0.512,0.000
250421,0.0284084,642.789643542841,0.000,0.217,0.512,0.000
250422,0.0168982,642.806541742757,0.000,0.217,0.512,0.000
250424,0.0171449,642.823686642572,0.000,0.217,0.512,0.000
250427,0.0205994,642.844286043197,0.000,0.217,0.512,0.000
250429,0.0284535,642.872739542276,0.000,0.217,0.512,0.000
250431,0.0162702,642.889009742066,0.000,0.217,0.512,0.000
250431,0.0163492,642.905358942226,0.000,0.217,0.512,0.000
0,0.0214691,642.926828041673,0.000,0.217,0.512,0.000
0,0.0284708,642.955298841,0.000,0.217,0.512,0.000
250438,0.0183711,642.973669940606,0.000,0.217,0.512,0.000
250440,0.0160786,642.989748541266,0.000,0.217,0.512,0.000
250442,0.0178687,643.007617240772,0.000,0.217,0.512,0.000
250445,0.0184615,643.026078740135,0.000,0.217,0.512,0.000
250447,0.029151,643.055229740217,0.000,0.217,0.512,0.000
250449,0.0147809,643.070010640658,0.000,0.217,0.512,0.000
250450,0.0192021,643.089212740771,0.000,0.217,0.512,0.000
250452,0.0142622,643.103474941105,0.000,0.217,0.512,0.000
250454,0.0182073,643.121682241559,0.000,0.217,0.512,0.000
250455,0.015623,643.137305242009,0.000,0.217,0.512,0.000
250457,0.0171154,643.154420641251,0.000,0.217,0.512,0.000
250459,0.0157906,643.170211241581,0.000,0.217,0.512,0.000
250460,0.0179898,643.188201040961,0.000,0.217,0.512,0.000
250462,0.0174013,643.205602341332,0.000,0.217,0.512,0.000
250464,0.0183519,643.223954240792,0.000,0.217,0.512,0.000
250466,0.0185363,643.242490540259,0.000,0.217,0.512,0.000
250467,0.0170951,643.259585640393,0.000,0.217,0.512,0.000
250471,0.0195461,643.279131741263,0.000,0.217,0.512,0.000
250472,0.0288029,643.307934640907,0.000,0.217,0.512,0.000
250474,0.016111,643.324045640416,0.000,0.217,0.512,0.000
250475,0.0176379,643.341683539562,0.000,0.217,0.512,0.000
250477,0.0162609,643.357944439165,0.000,0.217,0.512,0.000
250481,0.0219484,643.37989284005,0.000,0.217,0.512,0.000
250482,0.029465,643.409357839264,0.000,0.217,0.512,0.000
250484,0.0138398,643.423197639175,0.000,0.217,0.512,0.000
250486,0.0166145,643.439812139608,0.000,0.217,0.512,0.000
250489,0.0215782,643.461390339769,0.000,0.217,0.512,0.000
250491,0.0292883,643.490678639151,0.000,0.217,0.512,0.000
250492,0.0179254,643.508604039438,0.000,0.217,0.512,0.000
250494,0.0172358,643.525839840062,0.000,0.217,0.512,0.000
250496,0.0188893,643.544729140587,0.000,0.217,0.512,0.000
250497,0.0134788,643.55820794031,0.000,0.217,0.512,0.000
250499,0.0153745,643.573582440615,0.000,0.217,0.512,0.000
250501,0.0160691,643.589651539922,0.000,0.217,0.512,0.000
250502,0.0179498,643.607601338997,0.000,0.217,0.512,0.000
250504,0.0175005,643.625101838261,0.000,0.217,0.512,0.000
250507,0.0203504,643.645452238619,0.000,0.217,0.512,0.000
250509,0.0295472,643.674999438226,0.000,0.217,0.512,0.000
250510,0.0137911,643.688790538348,0.000,0.217,0.512,0.000
250512,0.0187414,643.707531939261,0.000,0.217,0.512,0.000
250514,0.019967,643.72749893833,0.000,0.217,0.512,0.000
250515,0.013442,643.740940938704,0.000,0.217,0.512,0.000
250517,0.0152868,643.756227739155,0.000,0.217,0.512,0.000
250519,0.0186993,643.774927038699,0.000,0.217,0.512,0.000
250521,0.0156294,643.790556438267,0.000,0.217,0.512,0.000
250524,0.0215937,643.812150137499,0.000,0.217,0.512,0.000
250526,0.0276906,643.839840738103,0.000,0.217,0.512,0.000
250527,0.0192076,643.859048338607,0.000,0.217,0.512,0.000
250529,0.0154571,643.874505438842,0.000,0.217,0.512,0.000
250531,0.0184678,643.892973239534,0.000,0.217,0.512,0.000
250532,0.0155246,643.908497839235,0.000,0.217,0.512,0.000
250534,0.0104859,643.918983738869,0.000,0.217,0.512,0.000
250536,0.0208401,643.939823837951,0.000,0.217,0.512,0.000
250537,0.0173515,643.957175338641,0.000,0.217,0.512,0.000
250539,0.0176475,643.974822837859,0.000,0.217,0.512,0.000
250540,0.0145443,643.989367137663,0.000,0.217,0.512,0.000
250542,0.0176323,644.006999437697,0.000,0.217,0.512,0.000
250544,0.0169077,644.023907137103,0.000,0.217,0.512,0.000
250546,0.0187116,644.042618737556,0.000,0.217,0.512,0.000
250547,0.0153218,644.05794053711,0.000,0.217,0.512,0.000
250551,0.0216516,644.079592136666,0.000,0.217,0.512,0.000
250552,0.0284206,644.108012735844,0.000,0.217,0.512,0.000
250554,0.0146351,644.122647835873,0.000,0.217,0.512,0.000
250555,0.0177073,644.140355135314,0.000,0.217,0.512,0.000
250557,0.016108,644.156463135965,0.000,0.217,0.512,0.000
250559,0.021724,644.178187136538,0.000,0.217,0.512,0.000
250560,0.0117998,644.189986936748,0.000,0.217,0.512,0.000
250562,0.0191969,644.209183836356,0.000,0.217,0.512,0.000
250564,0.012922,644.222105836496,0.000,0.217,0.512,0.000
250565,0.017795,644.239900836721,0.000,0.217,0.512,0.000
250566,0.0170026,644.256903436035,0.000,0.217,0.512,0.000
250569,0.0114917,644.26839513611,0.000,0.217,0.512,0.000
250570,0.0236412,644.292036336847,0.000,0.217,0.512,0.000
250572,0.0146924,644.306728736497,0.000,0.217,0.512,0.000
250574,0.0175422,644.32427093666,0.000,0.217,0.512,0.000
250575,0.0154284,644.339699336328,0.000,0.217,0.512,0.000
250577,0.0177626,644.357461935841,0.000,0.217,0.512,0.000
250579,0.0169489,644.374410835095,0.000,0.217,0.512,0.000
250581,0.0180591,644.392469934188,0.000,0.217,0.512,0.000
250582,0.0156428,644.408112733625,0.000,0.217,0.512,0.000
250584,0.020657,644.428769732825,0.000,0.217,0.512,0.000
250586,0.0136945,644.442464232445,0.000,0.217,0.512,0.000
250587,0.0162897,644.458753932267,0.000,0.217,0.512,0.000
250589,0.0177793,644.476533232257,0.000,0.217,0.512,0.000
250590,0.0161325,644.492665732279,0.000,0.217,0.512,0.000
250592,0.0129194,644.505585132167,0.000,0.217,0.512,0.000
250596,0.0253374,644.530922532082,0.000,0.217,0.512,0.000
250597,0.0274965,644.558419032022,0.000,0.217,0.512,0.000
250599,0.0166439,644.575062932447,0.000,0.217,0.512,0.000
250600,0.0168473,644.591910231858,0.000,0.217,0.512,0.000
250602,0.0160448,644.607955031097,0.000,0.217,0.512,0.000
250604,0.0197265,644.627681531012,0.000,0.217,0.512,0.000
250605,0.013167,644.640848531388,0.000,0.217,0.512,0.000
250607,0.0170599,644.657908431254,0.000,0.217,0.512,0.000
250609,0.0176138,644.675522231497,0.000,0.217,0.512,0.000
0,0.0179644,644.693486631848,0.000,0.217,0.512,0.000
250612,0.0170044,644.71049103234,0.000,0.217,0.512,0.000
250614,0.0162715,644.726762532257,0.000,0.217,0.512,0.000
250615,0.0151732,644.741935731843,0.000,0.217,0.512,0.000
250617,0.0169078,644.758843531832,0.000,0.217,0.512,0.000
250619,0.0162273,644.77507083118,0.000,0.217,0.512,0.000
250620,0.020324,644.795394830406,0.000,0.217,0.512,0.000
250622,0.0124513,644.807846130803,0.000,0.217,0.512,0.000
250624,0.0167539,644.824600031599,0.000,0.217,0.512,0.000
250625,0.017362,644.84196203202,0.000,0.217,0.512,0.000
250627,0.0171601,644.859122132882,0.000,0.217,0.512,0.000
250628,0.0165934,644.875715533271,0.000,0.217,0.512,0.000
250630,0.0106867,644.886402233504,0.000,0.217,0.512,0.000
250632,0.0230208,644.909423033707,0.000,0.217,0.512,0.000
250634,0.014551,644.923974033445,0.000,0.217,0.512,0.000
250635,0.018064,644.942038033158,0.000,0.217,0.512,0.000
250637,0.0157163,644.957754332572,0.000,0.217,0.512,0.000
250639,0.0118097,644.969564032741,0.000,0.217,0.512,0.000
250640,0.0214634,644.991027432494,0.000,0.217,0.512,0.000
